,X,S
0,1e-05,0.0
5000,7.998213015265056e-06,0.0006291077531268409
10000,1.0994246381082128e-05,0.0008965909509078601
15000,1.3018639359073447e-05,0.0009063105752931433
20000,1.786159417481085e-05,0.0009212486658710139
25000,2.054585927899155e-05,0.000894904604926227
30000,2.3527310985750417e-05,0.0008810564192963217
35000,3.586222679859563e-05,0.0009514188825859085
40000,4.5861545836309006e-05,0.0009565350750141117
45000,5.720640656180141e-05,0.0009069222096984821
50000,7.46655573987919e-05,0.0008765693075236685
55000,8.706585016218973e-05,0.0008630877049480754
60000,0.00010466281108537933,0.0007125348473353502
65000,0.00012692681188344407,0.0007380698045024208
70000,0.0001508828680686178,0.000717742631685988
75000,0.00018527285402336158,0.000627357901030105
80000,0.00020676837806474633,0.0006289469425485852
85000,0.00020958883483743274,0.0006059618547339281
90000,0.00025538011557491654,0.0005214038776717308
95000,0.00024098523875705973,0.0005003082498914343
100000,0.00025597786873207467,0.00045315961703674246
105000,0.00025670368109715675,0.0004525149742663361
110000,0.00028390045501959293,0.0004101160637090005
115000,0.0002789552854622843,0.0004018924230642037
120000,0.00028081335767820594,0.00041566360451395466
125000,0.0002970184964072794,0.00038104406851104165
130000,0.00031034003326106853,0.0003580718215451895
135000,0.000281519348117462,0.0003896979537986407
140000,0.0002934474146181597,0.00039601096372997573
145000,0.00030820898379473586,0.00041487980580019447
150000,0.0002823871380098228,0.0004122902489962357
155000,0.00031104347548333803,0.00044071495670266423
160000,0.0002789560595754865,0.0003946901334534301
165000,0.00030164617595848756,0.00042832127750793846
170000,0.000300877825547703,0.00041668935261446614
175000,0.00029742850515319247,0.00039677300628709796
180000,0.00027047938873489015,0.0004359462313679755
185000,0.0002977542074028231,0.00039561657194651863
190000,0.0003367048560265051,0.0004088236551042789
195000,0.00032889776116357686,0.0004553719078934438
