,X,S
0,1e-05,0.0
5000,9.43094299312997e-06,0.0006199002497278813
10000,1.1822027297138077e-05,0.0008977240933416569
15000,1.3659495771326711e-05,0.0009736864617474897
20000,1.6581034278309764e-05,0.0009332159927540137
25000,2.147788449329209e-05,0.0009878227858732761
30000,3.050769933263041e-05,0.0009532956993800192
35000,3.399129011520205e-05,0.000969661819852492
40000,4.218662784425563e-05,0.0009027852879475729
45000,4.726377731916213e-05,0.0009220230047738348
50000,6.882483429131021e-05,0.000865231244940903
55000,8.218820498792718e-05,0.0009024697467450789
60000,9.876404064436081e-05,0.0008024616228025276
65000,0.0001238405856111492,0.000778397902792603
70000,0.00014615573046197845,0.0006736961813716488
75000,0.00015796569184078164,0.0006373718985532296
80000,0.0002124751156378703,0.0006204992508897477
85000,0.00022138979574060717,0.0005902670168503449
90000,0.0002490009723492031,0.0005397829509746433
95000,0.0002775041327792787,0.00040778079066739126
100000,0.00028091459808316313,0.0004081361113872031
105000,0.00029455905745276597,0.0004386193114010846
110000,0.00025874091486608,0.0004014086879565502
115000,0.0003126091481225596,0.00040622218811472185
120000,0.00027438432663011664,0.0004156284352842705
125000,0.0002919997690886751,0.00039854765785440785
130000,0.00029495992896497284,0.0004135128506446769
135000,0.0002900311614201204,0.0004226499274055354
140000,0.00031699536378581444,0.000392786622340904
145000,0.0003222184212288284,0.0003973519868914989
150000,0.00031251090992760126,0.00041272830158281006
155000,0.0003285878280323599,0.00040391112797145544
160000,0.00029685899958899973,0.0003699112512242381
165000,0.0003160271245563067,0.00038970268472284544
170000,0.00030039948546665046,0.000369040457078913
175000,0.00029417294783002344,0.00040356811428238806
180000,0.0003061890238256639,0.00042911923595892
185000,0.00029943448496778116,0.00040549952321010976
190000,0.0003195054555398407,0.0004059169917087288
195000,0.0003163562324488511,0.00036682782716874687
